source,package,probable_app_name,purpose,transformation,target,status,target_action,alias_action
hyperos3-icons/apps/128/com.miui.calculator.png,com.miui.calculator,Calculator,application icon,com.miui.calculator -> calculator,hyperos icons/apps@2x/scalable/calculator.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.compass.png,com.miui.compass,Compass,application icon,com.miui.compass -> compass,hyperos icons/apps/scalable/compass.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.compass.png,com.miui.compass,Compass,application icon,com.miui.compass -> compass,hyperos icons/apps@2x/scalable/compass.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.fm.png,com.miui.fm,Fm,application icon,com.miui.fm -> radio,hyperos icons/apps/scalable/radio.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.fm.png,com.miui.fm,Fm,application icon,com.miui.fm -> radio,hyperos icons/apps@2x/scalable/radio.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.fmradio.png,com.miui.fmradio,Fmradio,application icon,com.miui.fmradio -> radio,hyperos icons/apps/scalable/radio.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.fmradio.png,com.miui.fmradio,Fmradio,application icon,com.miui.fmradio -> radio,hyperos icons/apps@2x/scalable/radio.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.fmservice.png,com.miui.fmservice,Fmservice,application icon,com.miui.fmservice -> fmservice,hyperos icons/apps/scalable/fmservice.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.fmservice.png,com.miui.fmservice,Fmservice,application icon,com.miui.fmservice -> fmservice,hyperos icons/apps@2x/scalable/fmservice.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.gallery.png,com.miui.gallery,Gallery,application icon,com.miui.gallery -> org.gnome.Photos,hyperos icons/apps/scalable/org.gnome.Photos.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.gallery.png,com.miui.gallery,Gallery,application icon,com.miui.gallery -> org.gnome.Photos,hyperos icons/apps@2x/scalable/org.gnome.Photos.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.home.clear_bg.png,com.miui.home.clear_bg,Clear Bg,application icon,com.miui.home.clear_bg -> home-clear-bg,hyperos icons/apps/scalable/home-clear-bg.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.home.clear_bg.png,com.miui.home.clear_bg,Clear Bg,application icon,com.miui.home.clear_bg -> home-clear-bg,hyperos icons/apps@2x/scalable/home-clear-bg.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.huanji.png,com.miui.huanji,Huanji,application icon,com.miui.huanji -> huanji,hyperos icons/apps/scalable/huanji.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.huanji.png,com.miui.huanji,Huanji,application icon,com.miui.huanji -> huanji,hyperos icons/apps@2x/scalable/huanji.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.miservice.png,com.miui.miservice,Miservice,application icon,com.miui.miservice -> miservice,hyperos icons/apps/scalable/miservice.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.miservice.png,com.miui.miservice,Miservice,application icon,com.miui.miservice -> miservice,hyperos icons/apps@2x/scalable/miservice.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.notes.png,com.miui.notes,Notes,application icon,com.miui.notes -> notes,hyperos icons/apps/scalable/notes.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.notes.png,com.miui.notes,Notes,application icon,com.miui.notes -> notes,hyperos icons/apps@2x/scalable/notes.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.player.png,com.miui.player,Player,application icon,com.miui.player -> multimedia-player,hyperos icons/apps/scalable/multimedia-player.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.player.png,com.miui.player,Player,application icon,com.miui.player -> multimedia-player,hyperos icons/apps@2x/scalable/multimedia-player.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.screenrecorder.png,com.miui.screenrecorder,Screenrecorder,application icon,com.miui.screenrecorder -> media-record,hyperos icons/apps/scalable/media-record.svg,mapped,exists-skip,alias-exists-skip
